date,jjjz,ljjz,rate,units,totalCost,cost,incomeTotal,income,incomePercent,incomeDay
2016-06-07 00:00:00,1.629,1.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-08 00:00:00,1.631,1.631,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-13 00:00:00,1.641,1.641,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-14 00:00:00,1.64,1.64,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-06-15 00:00:00,1.648,1.648,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-16 00:00:00,1.659,1.659,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-17 00:00:00,1.652,1.652,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-06-20 00:00:00,1.651,1.651,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-06-21 00:00:00,1.646,1.646,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-06-22 00:00:00,1.646,1.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-23 00:00:00,1.646,1.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-24 00:00:00,1.663,1.663,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-27 00:00:00,1.666,1.666,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-28 00:00:00,1.666,1.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-29 00:00:00,1.667,1.667,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-30 00:00:00,1.663,1.663,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-07-01 00:00:00,1.671,1.671,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-04 00:00:00,1.679,1.679,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-05 00:00:00,1.679,1.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-06 00:00:00,1.693,1.693,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-07 00:00:00,1.702,1.702,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-08 00:00:00,1.697,1.697,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-07-11 00:00:00,1.706,1.706,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-12 00:00:00,1.704,1.704,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-07-13 00:00:00,1.705,1.705,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-14 00:00:00,1.701,1.701,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-07-15 00:00:00,1.703,1.703,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-18 00:00:00,1.706,1.706,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-19 00:00:00,1.706,1.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-20 00:00:00,1.699,1.699,-0.41,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-07-21 00:00:00,1.697,1.697,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-07-22 00:00:00,1.696,1.696,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-07-25 00:00:00,1.691,1.691,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-07-26 00:00:00,1.699,1.699,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-27 00:00:00,1.701,1.701,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-28 00:00:00,1.702,1.702,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-29 00:00:00,1.699,1.699,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-08-01 00:00:00,1.701,1.701,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-02 00:00:00,1.7,1.7,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-08-03 00:00:00,1.702,1.702,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-04 00:00:00,1.699,1.699,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-08-05 00:00:00,1.701,1.701,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-08 00:00:00,1.692,1.692,-0.53,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-08-09 00:00:00,1.693,1.693,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-10 00:00:00,1.699,1.699,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-11 00:00:00,1.696,1.696,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2016-08-12 00:00:00,1.696,1.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
